Rank;Name;Team Code;Nationality;Points
1;TEAM SD WORX;SDW;NETHERLANDS;12389,99
2;TREK - SEGAFREDO;TFS;UNITED STATES OF AMERICA;9158,66
3;MOVISTAR TEAM WOMEN;MOV;SPAIN;9067,66
4;TEAM DSM;DSM;GERMANY;6414,33
5;ALE' BTC LJUBLJANA;ALE;ITALY;6396
6;CANYON//SRAM RACING;CSR;GERMANY;6107,67
7;LIV RACING;LIV;NETHERLANDS;5834,33
8;FDJ NOUVELLE-AQUITAINE FUTUROSCOPE;FDJ;FRANCE;5730
9;JUMBO-VISMA WOMEN TEAM;JVW;NETHERLANDS;5413
10;TEAM BIKEEXCHANGE;BEX;AUSTRALIA;3695
11;VALCAR - TRAVEL & SERVICE;VAL;ITALY;3525
12;CERATIZIT - WNT PRO CYCLING TEAM;WNT;GERMANY;3472,66
13;TEAM TIBCO - SILICON VALLEY BANK;TIB;UNITED STATES OF AMERICA;1869
14;A.R. MONEX WOMEN'S PRO CYCLING TEAM;MNX;ITALY;1799
15;PARKHOTEL VALKENBURG;PHV;NETHERLANDS;1454
16;DROPS-LE COL SUPPORTED BY TEMPUR;DRP;GREAT BRITAIN;1094,67
17;COGEAS METTLER LOOK PRO CYCLING TEAM;CGS;RUSSIAN FEDERATION;1044,67
18;ARKEA PRO CYCLING TEAM;ARK;FRANCE;974
19;WCC TEAM;WCC;STATELESS;866,98
20;BEPINK;BPK;ITALY;746
21;AROMITALIA BASSO BIKES VAIANO;VAI;ITALY;688
22;RALLY CYCLING;RLW;UNITED STATES OF AMERICA;614
23;STADE ROCHELAIS CHARENTE- MARITIME WOMEN CYCLING;SRC;FRANCE;592
24;NXTG RACING;NXG;NETHERLANDS;552,33
25;TEAM COOP-HITEC PRODUCTS;HPU;NORWAY;551,33
26;ENEICAT - RBH GLOBAL - MARTIN VILLA;EIC;SPAIN;544,33
27;MASSI TACTIC WOMEN TEAM;MAT;SPAIN;521
28;BINGOAL CASINO - CHEVALMEIRE;CCT;BELGIUM;479
29;DOLTCINI - VAN EYCK - PROXIMUS CONTINENTAL TEAM;DVE;BELGIUM;472,66
30;COLNAGO CM TEAM;CCM;COLOMBIA;468
31;ANDY SCHLECK - CP NVST - IMMO LOSCH;ASC;LUXEMBOURG;430
32;INSTAFUND RACING;ILP;CANADA;420
33;TOP GIRLS FASSA BORTOLO;TOP;ITALY;409
34;LOTTO SOUDAL LADIES;LSL;BELGIUM;368
35;WOMEN CYCLING SPORT;WCS;SPAIN;363
36;LVIV CYCLING TEAM;LCW;UKRAINE;353
37;MINSK CYCLING CLUB;MCC;BELARUS;325
38;TEAM RUPELCLEANING - CHAMPION LUBRICANTS;RUP;IRELAND;295
39;GT KRUSH TUNAP PRO CYCLING;GKT;NETHERLANDS;241
40;PLANTUR-PURA;PLP;BELGIUM;232
41;SESTRORETSK;SSR;RUSSIAN FEDERATION;229,67
42;BIZKAIA - DURANGO;BDU;SPAIN;208
43;SERVETTO - MAKHYMO - BELTRAMI TSA;SER;ITALY;203
44;MEMORIAL SANTOS - SADDLEDRUNK;MEM;BRAZIL;184
45;TEAM ILLUMINATE;ILU;UNITED STATES OF AMERICA;183
46;THAILAND WOMEN'S CYCLING TEAM;TWC;THAILAND;146
47;ISOLMANT - PREMAC - VITTORIA;SBT;ITALY;134
48;DNA PRO CYCLING TEAM;DNA;UNITED STATES OF AMERICA;102
49;MACOGEP TORNATECH GIRONDINS DE BORDEAUX;MTG;CANADA;82
50;MULTUM ACCOUNTANTS LADIES CYCLING TEAM;MUL;BELGIUM;76
51;TEAM FARTO - BTC;FAR;SPAIN;70
52;FEREI-CCN;FCT;BELARUS;69
53;BORN TO WIN G20 AMBEDO;BTW;ITALY;67
54;VIB SPORTS;VIB;BAHRAIN;65
55;SOPELA WOMEN'S TEAM;SWT;SPAIN;64
56;RIO MIERA - CANTABRIA DEPORTE;RMC;SPAIN;56
57;LABORAL KUTXA - FUNDACION EUSKADI;LKF;SPAIN;35
58;CAMS-BASSO;CAT;GREAT BRITAIN;29
59;AWOL  OSHEA;AWO;GREAT BRITAIN;10
60;ROXSOLT LIV SRAM;RXS;AUSTRALIA;4
