Rank,Name,Team Code,Nationality,Points
1,TREK - SEGAFREDO,TFS,UNITED STATES OF AMERICA,"6931,98"
2,BOELS DOLMANS CYCLINGTEAM,DLT,NETHERLANDS,"5385,35"
3,MITCHELTON - SCOTT,MTS,AUSTRALIA,4775
4,TEAM SUNWEB,SUN,GERMANY,"3847,65"
5,EQUIPE PAULE KA,EPK,SWITZERLAND,"3222,68"
6,CCC - LIV,CCC,POLAND,3138
7,CERATIZIT - WNT PRO CYCLING TEAM,WNT,GERMANY,"3067,01"
8,ALE' BTC LJUBLJANA,ALE,ITALY,"2920,32"
9,CANYON / /SRAM RACING,CSR,GERMANY,"2770,33"
10,FDJ NOUVELLE - AQUITAINE FUTUROSCOPE,FDJ,FRANCE,2699
11,LOTTO SOUDAL LADIES,LSL,BELGIUM,"1901,33"
12,VALCAR - TRAVEL & SERVICE,VAL,ITALY,"1844,33"
13,PARKHOTEL VALKENBURG,PHV,NETHERLANDS,1366
14,TEAM TIBCO - SILICON VALLEY BANK,TIB,UNITED STATES OF AMERICA,1212
15,ASTANA WOMEN'S TEAM,ASA,KAZAKHSTAN,1171
16,MOVISTAR TEAM WOMEN,MOV,SPAIN,1156
17,Cogeas Mettler Look Pro Cycling Team,CGS,RUSSIAN FEDERATION,982
18,DOLTCINI - VAN EYCK- PROXIMUS CONTINENTAL TEAM,DVE,BELGIUM,658
19,Rally Cycling,RLW,UNITED STATES OF AMERICA,615
20,CICLOTEL,CTL,BELGIUM,554
21,LVIV Cycling Team,LCW,UKRAINE,"493,34"
22,ROXSOLT ATTAQUER,RXS,AUSTRALIA,468
23,MINSK CYCLING CLUB,MCC,BELARUS,467
24,THAILAND WOMEN'S CYCLING TEAM,TWC,THAILAND,424
25,Team Arkea,ARK,FRANCE,391
26,BEPINK,BPK,ITALY,366
27,HITEC PRODUCTS - BIRK SPORT,HPU,NORWAY,"364,33"
28,WCC TEAM,WCC,STATELESS,359
29,AROMITALIA - BASSO BIKES - VAIANO,VAI,ITALY,345
30,Sestroretsk,SSR,RUSSIAN FEDERATION,301
31,NXTG RACING,NXG,NETHERLANDS,"250,33"
32,AGOLICO,AGO,MEXICO,249
33,TOP GIRLS FASSA BORTOLO,TOP,ITALY,217
34,CICLISMO MUNDIAL,CIM,BELGIUM,169
35,BIZKAIA - DURANGO,BDU,SPAIN,134
36,ENEICAT -RBH GLOBAL,EIC,SPAIN,128
37,Charente - Maritime Women Cycling,CMW,FRANCE,123
38,CRONOS - CASA DORADA WOMEN CYCLING,CDO,SPAIN,104
39,DROPS,DRP,GREAT BRITAIN,86
40,SOPELA WOMEN'S TEAM,SWT,SPAIN,78
41,CHEVALMEIRE CYCLING TEAM,CCT,BELGIUM,69
42,TEAM ILLUMINATE,ILU,UNITED STATES OF AMERICA,64
43,MULTUM ACCOUNTANTS - LSK LADIES CYCLING TEAM,MUL,BELGIUM,58
44,EUROTARGET - BIANCHI - VITTORIA,SBT,ITALY,39
45,MASSI TACTIC WOMEN TEAM,MAT,SPAIN,34
46,SERVETTO - PIUMATE - BELTRAMI TSA,SER,ITALY,23
47,Macogep Tornatech Girondins de Bordeaux,MTG,CANADA,11
48,BIEHLER KRUSH PRO CYCLING,BKP,NETHERLANDS,11
49,RIO MIERA - CANTABRIA DEPORTE,RMC,SPAIN,3
50,VIB - Natural Greatness,VIB,BAHRAIN,1
